token_address,token_symbol,latest_timestamp,status,age_minutes,earlyReturn_percent,riseSpeed,currentPrice,launchPrice,collectionPrice,holders,txVolumeU24h,tvl,fdv,marketCap,highestPrice,drawdownFromHighest_percent,buyPrice,profitPercent,holdDuration_seconds,total_records
0xfeb0a7a7ad75f53ff06fdd88f376253a49da4444,化身,2026-02-16T12:39:52.775+00:00,,5.68,0.19,0.03,0.000003643,0.000003636,0.0000037556,1,,,3643,3643,0.0000037556,-3.00,,,,14
0xadb206749382fd3a8bdca02aba79fa93fc5c4444,CRYPTO,2026-02-16T12:39:52.707+00:00,,5.66,-2.35,-0.42,0.0000040966,0.0000041954,0.0000040966,1,,,4096.6,4096.6,0.0000040966,0.00,,,,14
0x0a0dcfd168b399d0076804d2b76812c578b64444,仙鹤,2026-02-16T12:39:52.609+00:00,,5.63,-3.85,-0.68,0.0000037189,0.0000038679,0.0000037189,1,,,3718.9,3718.9,0.0000037189,0.00,,,,14
0x6e13b05052891794b7ff3d0a8f4256d142624444,梅花花神,2026-02-16T12:39:52.561+00:00,,5.61,0.10,0.02,0.0000040629,0.0000040587,0.0000046649,1,,,4062.9,4062.9,0.0000046649,-12.90,,,,14
0xf2173d0c5009dc768b294eb7d65f97ba54714444,杏花,2026-02-16T12:39:52.51+00:00,,5.53,-9.76,-1.77,0.0000035956,0.0000039844,0.000004001,2,,9.89076,3595.6,3595.6,0.000004001,-10.13,,,,14
0x5ad7f55d39dbfb3303410f2958ac486114fe4444,吗的inch,2026-02-16T12:37:13.39+00:00,,6.34,-5.85,-0.92,0.0000036361,0.0000038621,0.0000036306,2,,,3636.1,3636.1,0.0000036361,0.00,,,,6
0xfcc87a13f733a2283f552efdba206b6fdd8b4444,MADE IN СНІΝА,2026-02-16T12:37:13.261+00:00,,6.29,-0.02,-0.00,0.0000039757,0.0000039766,0.0000039757,1,,,3975.7,3975.7,0.0000039757,0.00,,,,6
0xa9d748ca2611c0041c56fa21727a0a8fc96c4444,㆗͏国制造,2026-02-16T12:37:12.939+00:00,,6.05,0.01,0.00,0.0000039763,0.000003976,0.0000039763,1,,,3976.3,3976.3,0.0000039763,0.00,,,,6
0x2ecfc93eba5655e4a734bec1ffc7b55ff8134444,㆗͏国制造,2026-02-16T12:37:12.81+00:00,,6.01,-3.87,-0.64,0.0000037116,0.0000038611,0.0000039747,2,,91.89893,3711.6,3711.6,0.0000039747,-6.62,,,,6
0xaa0c964cde7419ce5ed443f605476d8753334444,㆗͏国制造,2026-02-16T12:37:12.719+00:00,,6.01,0.01,0.00,0.000004006,0.0000040054,0.000004006,1,,,4006,4006,0.000004006,0.00,,,,6
0x73b6251d2d6bd7cc2a60b9fa8e2591c9d1e14444,春晚指数6900,2026-02-16T12:36:52.209+00:00,,5.67,0.02,0.00,0.0000038627,0.0000038618,0.0000042073,1,,,3862.7,3862.7,0.0000042073,-8.19,,,,5
0xf58eab876af00ee1bb31767855efb2e757aa4444,made in СНІΝА,2026-02-16T12:36:52.166+00:00,,5.59,0.22,0.04,0.0000040597,0.0000040506,0.0000047202,1,636.44219,,4059.7,4059.7,0.0000047887,-15.22,,,,5
0x369c8ea30c540a6aba939dcd2927117b10694444,㆗͏国制造,2026-02-16T12:36:52.136+00:00,,5.57,-2.28,-0.41,0.0000036607,0.0000037461,0.0000038341,1,,,3660.7,3660.7,0.0000038341,-4.52,,,,4
0xdeddaf4ff351307f4950ddcb8cac2556cac24444,㆗͏国制造,2026-02-16T12:36:52.108+00:00,,5.55,0.03,0.01,0.0000038627,0.0000038615,0.0000038627,2,,0.01739,3862.7,3862.7,0.0000038627,0.00,,,,4
0xda3f8b6ce653c064a0363ed02e3fbc7fe0a84444,蝦椅蝦椅,2026-02-16T12:36:52.08+00:00,,5.55,0.00,0.00,0.00000366,0.00000366,0.00000366,2,,0.01815,3660,3660,0.00000366,0.00,,,,4
0x4de40b779057f58cc5df7977a8f159d075c04444,明日方舟,2026-02-16T12:36:32.358+00:00,,6.32,-0.14,-0.02,0.0000037469,0.000003752,0.0000039883,2,,0.02015,3746.9,3746.9,0.0000039883,-6.05,,,,3
0x075838acab67bde068195532fedc75efd1db4444,ARKNIGHTS,2026-02-16T12:36:32.287+00:00,,6.27,-7.49,-1.19,0.0000038426,0.0000041535,0.0000038426,1,,,3842.6,3842.6,0.0000038426,0.00,,,,3
