"代币","地址","时序记录数","分析数据点","CV%","方向通过","评分","涨幅%","斜率%/步","上涨占比","通过"
"浇头","0xeafd575f8155d75a48169cdc73204261b97b4444","15","10","0.184","3/3","39.4","0.38","0.0547","11.1%","N"
"海骝马","0x55b53adcc358766cdeeb9517d18e3e32b8594444","88","10","0.669","2/3","56.0","1.70","0.1622","11.1%","Y"
"许我再少年","0xe04c362da8c0b6635092ed752efd7f08ce284444","89","10","10.615","3/3","55.4","4.04","1.6860","66.7%","Y"
"金马闹新春","0xc163f43da4a2ea7b5408deb07e7d203565d64444","87","10","3.823","3/3","76.5","9.89","0.8827","22.2%","Y"
"大币安是我的家乡","0xe46b45386f2942fd5cbc6f31cf8a58da077f4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"大东北","0xc7ffb3d3934db26b976dc4bcf3fde5f76b9c4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"东北","0x212076797f2ec09739db038ad322556a093f4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"年","0x633af9665895597ed1837c86a34b90f2b2084444","15","10","7.531","0/3","21.5","-12.45","-1.9364","33.3%","N"
"霍夫曼和班农爱爱泼斯坦","0x20869b74f0b250ba34500b9a53dc03dad7f34444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"Niko","0x963c66c27b1ea4b683c18f9837e8adf883394444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"奶奶的最爱","0x2f29fcab2fc84752a5c8373cd3d5577eb9c44444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"AI Agent的真相","0xaa1bc33593206af9ce34b4e9e84468f9a3074444","88","10","18.776","0/3","18.0","-42.32","-4.8978","0.0%","N"
"快乐小马","0x97d11b345611394550cf5d1c832f8da7e2474444","15","10","0.640","0/3","16.1","-1.59","-0.1550","0.0%","N"
"武BOT","0xd8693780f42d737321275f896abd039ab2054444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0x77232dfa898343234a6c1e8fc0f742aab8814444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"216","0xa933bb309bd5f8b129d816ea221381aa8f804444","15","10","2.171","0/3","16.6","-2.44","-0.5723","11.1%","N"
"Horse","0x59aab65e91301b5c96ea65e01dea2f88b9924444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"三万","0xff935aa9021e6df19d86c1aa163df36093b54444","15","10","3.638","0/3","19.6","-7.52","-1.0103","0.0%","N"
"三万","0xb6343daa72e4633a0d36d158ebbfa1036c374444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"2027马到成功","0x6c0508690906fe4503d97830991e2de40f2d4444","16","10","4.725","0/3","21.2","-10.91","-1.2880","0.0%","N"
"马上射","0x2147603fe447e4e9c4715ae959fb540ace1f4444","15","10","0.499","0/3","15.3","-1.64","-0.0908","0.0%","N"
"shrimp","0x6983902a129c1a52671f9c89d93462267db34444","89","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"安钱马厚","0xfdc5f4f753939fd6024f1fd8f48f639badb54444","15","10","0.340","2/3","48.8","0.86","0.0824","11.1%","N"
"奥特曼怀孕","0xec8f88fbc3d797d94801f87a2a0357e7761b4444","15","10","2.151","0/3","19.8","-6.73","-0.3911","0.0%","N"
"初代机器人","0x7ca96d984e3081ae707b705f900b738096c24444","88","10","3.744","0/3","19.9","-7.93","-1.1969","0.0%","N"
"立马暴富","0x92c4ddf905050e2e2d6096f51dd2e3df25a2ffff","11","10","5.097","0/3","21.6","-10.24","-1.4053","11.1%","N"
"菜花","0x4263dfe4415b14c74f0f0bf2b8e10d01064d4444","15","10","1.952","0/3","17.3","-3.89","-0.5797","0.0%","N"
"拜年啦","0x0990c10dee8376e8403a4461ecf0b6f7ba854444","15","10","11.984","0/3","18.0","-27.04","-3.6353","0.0%","N"
"高铁人","0x1319176155cbbe7b7ede6a1feaa4e7d408b74444","15","10","2.359","0/3","17.7","-4.61","-0.7148","0.0%","N"
"dabdob 綠色","0x97fb59df3bdf78c475560428386bb88cf2024444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"狗耳朵狗","0x3a95331437d0d4b75c8c14a602aef581699d4444","89","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"不想起床","0xfe09bfd94187bcf410864c51b23d7d7f5b8e4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"SUCCESS","0xcd7f5064a6a5a951bbcb80d8344fc111d4364444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"坚持不懈","0xd533a3baa2404582f36ebc6f1b7b260c91084444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"坚持不懈=成功","0x76fa180850002d03b4c211d2f5deb1783a324444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"brb","0x2156004c6dc329007b3db18ca50cf5faefcf4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"馬上奔向新篇章","0x3f41cd56b99db6e8852a39156029d55424224444","15","10","3.312","0/3","18.9","-6.50","-0.9834","0.0%","N"
"“馬”上奔向新篇章","0x3506cb385d8af03d014ae80bf2fe290d47f24444","15","10","15.362","0/3","18.0","-30.47","-4.6078","0.0%","N"
"小诺","0xcafe2d1619dc723da957d784e7b69684fa074444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"Neverrrrrrrrrrrrrrrr","0x493bdaf4ab305c5e03eb754221f87ffe89a74444","15","10","2.099","0/3","17.7","-4.44","-0.5829","0.0%","N"
"RUIRUI","0x67822dd8f32a4848d34173b81fe03e3d5c5b4444","35","10","0.031","2/3","24.6","0.08","0.0075","11.1%","N"
"Ming","0x64807a769dabf5a53ef9bb2019efbc4b12f74444","15","10","2.624","3/3","66.2","4.93","0.2599","33.3%","Y"
"海尔兄弟","0x799805572aed2c60ee0d7ff96e44e5ba8cf44444","15","10","3.186","0/3","21.8","-9.69","-0.5792","0.0%","N"
"马桶","0x8e3c213323c075740a871b8af27b3d5373f44444","15","10","5.229","0/3","20.4","-8.06","-0.9157","22.2%","N"
"小白龙","0xf79a302fc3d6d0a139d20cabe10181bb06814444","15","10","3.453","0/3","19.0","-6.76","-1.0252","0.0%","N"
"我睡着了AI帮我发了篇公众号","0x53edce5dd318f79c70fd36d1a836640bb48d4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"万事如意","0xddba156680415dbe7b7d3eaba32be6aaee1b4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"平安喜乐，万事如意","0xd1185f2173bf1d9fbf7eea7e88df19e834b44444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"春节踏马来了","0x918195c5d6ab014270a8a7791b0750f42bb4ffff","15","10","0.626","0/3","16.0","-1.56","-0.1517","0.0%","N"
"平安喜乐，万事如意","0x3168f4d7a55590c1f1bcedff2a8a3ef8053a4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"贾科长DANCE","0x8a85e9fd74a12c99163b00619d1e1ed4576d4444","88","10","26.710","3/3","66.7","14.51","3.1862","33.3%","Y"
"骐骥驰骋","0xb1dab2deece673926d1c3d5ac13e7204bfcd4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"奶奶的最爱","0xe652910bb01dd36fc556d862189d014bb8e04444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"修仙","0x6e44493c53f30efe52b52515a13bed36492d4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"马上有奇迹","0x9dd2ec4086b6abd47c8c59bc5099ef1c26fa4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"马上暴富","0xf8d8f726e8fdbef1b2e16b3e7095fd867ee44444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马年说马","0x97c19d83436e623e65417dcbae250d84a1b44444","15","10","0.030","0/3","6.6","-0.10","-0.0055","0.0%","N"
"币安好物月","0x78951e45fefb7dd01635d08c57d07b8db7944444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"币安好物月","0x54bd239d5529fc313ed3195fa7e28ed4dea44444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"MEME","0x9b083720d71f497445da61c1d558329bc4994444","15","10","0.009","0/3","6.3","-0.02","-0.0028","0.0%","N"
"不要不要","0xb978655ed593d6bef6dbf84eacc01b9fceb64444","16","10","2.590","0/3","19.0","-6.16","-0.6278","0.0%","N"
"HY","0x0d00c191820a4ff0b38079804d446b2ff14b4444","88","10","19.252","0/3","18.7","-32.69","-5.2265","11.1%","N"
"不要不要","0x68b9054a9dac9d4f6d1fed2dfe06bb6d988a4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"宇宙所","0x21a4c72a4be960e1404fbac0a19e6123968a4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"宇宙所","0x4ff10f925696efec75baaca19677a0d78fc64444","15","10","4.531","0/3","20.2","-8.76","-1.3454","0.0%","N"
"财子","0x1222315130afbbdfbf09870d2b46789af5e34444","15","10","3.510","0/3","19.1","-6.87","-1.0421","0.0%","N"
"宇宙所","0x264cbf3958ce4647682ac9af93896b82e1654444","15","10","3.460","0/3","19.0","-6.78","-1.0274","0.0%","N"
"财神","0x4606d798515d441d9234591c588c98ced9ce4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"财神","0x51ac75b5769ebfe7f5c6d54f2c15b23f11694444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"4","0xf915b70644bb2b9e7a2dfae09a7834378ca04444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马踏祥云","0x5f8d6c3194f9e004b3889d88d734a44d05c54444","15","10","0.592","0/3","16.4","-1.94","-0.1077","0.0%","N"
"福马","0x811d96511f9a0e812a6c1b97cce16a6d13a74444","15","10","3.316","0/3","19.2","-6.89","-0.9210","0.0%","N"
"马上有福","0x79a37c7f269243be53e696e2c6fbb2eee2764444","15","10","11.960","0/3","18.0","-29.44","-2.2217","0.0%","N"
"马年","0x6024ef79fbf8677f4d449516a9932979efa64444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"金微信","0x486e73707d021267ea0611a7f89eb89ee9834444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"币安买单","0xaf08999e7b24451167f7f39c4b3ca4fb652d4444","16","10","0.627","0/3","16.4","-1.24","-0.1895","11.1%","N"
"马","0x896a991a439ed2a46b1d00502d32da2400fa4444","16","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"福马","0xaeb51d761d1f1d0b0e38c649ca3af12b63914444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"PUNCH","0x89aec48e3d836873dc6415bf8512cd5b22384444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"出首款数字邮票","0x2d3429f9f6df9345deab2680f87e2c2422a74444","16","10","2.326","0/3","20.4","-6.79","-0.6280","11.1%","N"
"头铁","0xd241d8d853bf68b90745e145ff863e31911d4444","89","10","0.008","3/3","22.9","0.02","0.0023","11.1%","N"
"许我再少年","0x2da03b7da7a1128975a41c8e74cc0d05db444444","15","10","0.172","0/3","9.2","-0.57","-0.0313","0.0%","N"
"春節日日抽","0xff349c7473f06da221ce839ef8bb2e79c08b4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"马上有福","0x5703bcc9a2a66ca405383d94e4c534deac1f4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马上发财","0x7bcc013bbde09473cb8b3928e7270c4b52af4444","15","10","0.136","3/3","34.9","0.28","0.0403","11.1%","N"
"马上有福","0x1b7c0eec7901cbb0ffa1fe5367ca990564134444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0x9bab301c2c9e001561faf611a4e27b6476294444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"Belg","0xfd23214d243b4145c16e0a2b862da0ef5a914444","15","10","0.173","0/3","10.1","-0.43","-0.0419","0.0%","N"
"年夜饭","0x4bcee7be745662ff8160d6158aefbe6189c84444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"骐骥驰骋 势不可挡","0xcecdd9a6b53e39c6719b923192bf6de05db44444","15","10","1.052","0/3","17.4","-3.40","-0.1913","0.0%","N"
"舞狮","0xc34d9579cad309b760ac42e546f5c9fc21534444","16","10","0.008","0/3","6.2","-0.02","-0.0023","0.0%","N"
"滋滋作响的牛肉痴迷","0x45b821fa681295d33bbcea949e14401345324444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"PURRITO","0x762e97555c7878cc90afcd7a69b0cb17fd784444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"武BOT","0xbeeae7efa1fe30605cccc311b64c99a1c6664444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马年央视春晚公布第一批海报","0x6f564c53bec09e662d04fe3b095ede894d974444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"元熙","0xd7ef6f04b0629f75f8d04c32ac761eac86004444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币圈人春晚","0x47583eae7ef7d58e24bc074ae446f28f32334444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币圈人春晚","0x3eb8a38e9ac7a3e5a63e33ab4fffbc7516494444","15","10","0.001","3/3","22.3","0.00","0.0004","11.1%","N"
"元曦","0x024090435c2fc02061cfe8792815df90c70d4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"SMILE COIN","0xb64cd3491dcd9f2f93fdf65015f5d339f9174444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"放自己一马","0xc5a99c1797b43fcafa1dc1b5944f3d98af544444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"微笑硬币","0x496e81b047141447f065d874be982f0dc31e4444","15","10","5.184","0/3","20.9","-14.96","-0.9426","0.0%","N"
"微笑","0x7e15b684724c601ddec388dbee31c6a8bfb64444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"币安人生","0xc0f770125fad658b00188131b138f7fc154d4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币安人生","0x3e0fe3afbd7d48c8c19e57670eb9b32d4d954444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币安人生","0x4a1fe02684b9827d5ccd4d02bfd85d0b815c4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"币安人生","0xa947faf1c20bc5f2c66105bd7c8150675d054444","88","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"π马","0xd783685944c812d1ed88a5e22837db6b08d04444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"gaga币","0x97bdfe52ad8533a2423aa7166a674d2404b34444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"金色朋友圈","0x8d27d16ee7f83e5e135d568997a3c1878b404444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"那个男人出现了","0x73cae8849ec27f8410ce07161737b8f7d2274444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"不要不开心马","0x697f0bfe7fcf795697aff2c082c227140b914444","15","10","2.087","0/3","17.5","-4.15","-0.6196","0.0%","N"
"币安人生","0x899438abef610d1b9054fe161ad10c1f94fa4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"币安人生","0xaeacb0a25769fa2f867d395b502098348de14444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"币安人生","0x6146cafa4256a47b831e50e462050d7a999d4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币安人生","0xaf299dee544d01e5e5b3fab13d2283f5c24e4444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币安人生","0x0c72e67446d02b1ea2348ab0309064997e344444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币安人生","0x44edaf10d9c5f6f7091bad92189ee60eac314444","88","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"拜一财神","0xfe11f29b4926d3568652b1cf9f6ba71d91a34444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"caterpillar","0x03bdd58ed67e1e7551d45278ff7e42b98eb64444","16","10","0.429","0/3","16.2","-1.59","-0.1194","0.0%","N"
"$PEACHV2","0x04fb75010f85589f59e40e0e2480193cf2494444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0xb4f15a73d9cb6d6aaef3496ecc68c1dd93bc4444","15","10","0.016","2/3","23.4","0.04","0.0038","11.1%","N"
"金箍灵猴","0x167043c2cbbd9b1fd4f0a42efaff7455f64b4444","15","10","0.946","0/3","17.0","-2.88","-0.3004","0.0%","N"
"病毒式分叉","0x443de268c01e9d20f864792b3d6487b4b32c4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"殿くん","0xf37cf685b1980ff2e1be6de010014c7d614e4444","18","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马踏千年","0x61ea71de91697c879a42fb2059d1ae4370f94444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"$GPOWER","0xb5a760abf8c890cb3edc9f555b6e4f629c8e4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0x5ea742789cf8ef2ab65fef213886a463aab04444","15","10","0.092","0/3","8.1","-0.23","-0.0222","0.0%","N"
"Tono-Kun","0x6106477081321e5c17b88dfe326681b8af6c4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"银河机器人","0x70c0214e02a0c46b80d20b99a719b1d554abffff","88","10","27.655","3/3","68.9","549.28","5.1847","44.4%","Y"
"最难忘的今宵","0x5de470df73b89d3ed139ec00188f0b500aceffff","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"炮声连连","0xcd440337fd26774613d3ddc41481b12db6b7ffff","15","10","0.038","0/3","6.9","-0.10","-0.0093","0.0%","N"
"饭马过来","0x38e28736fbd02f71baf2d27c487118c4eb3a4444","87","10","23.463","0/3","18.0","-44.79","-7.4652","0.0%","N"
"踏马发财","0xdea0a6ea8c16712fb7f4fd335c09db3af3464444","15","10","1.750","0/3","19.5","-4.72","-0.4431","22.2%","N"
"派马","0xbe7e050feb5f58873158a73d302dfbb72a32ffff","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"Illustrator","0xc000dc9d637b72bc3909b333fd66b0a862ba4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"ILLUSTRATOR","0x1da053978b705eb8d960fde1e6f491131e2e4444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"恭喜恭喜","0x0240e4f3615e8ece674d548054a8dcffb32c4444","15","10","1.659","1/3","8.9","-3.01","-0.0063","11.1%","N"
"Pikachu","0x131b39e8555d3bde082656b5ee8fb580a7694444","88","10","23.914","0/3","22.0","-41.72","-6.8525","66.7%","N"
"$TRY","0xfd8f76bbdc8395625b7c0c493513d86661974444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马富贵","0xd9d27c5f05d6893aa38d966366f2c8202f7b4444","15","10","0.235","2/3","37.0","0.79","0.0428","11.1%","N"
"长鹏🆚年兽","0xa4926c0b24490c3166056d56643dcb533c2d4444","15","10","0.013","0/3","6.3","-0.03","-0.0031","0.0%","N"
"快乐·健康·富足·悠闲·平安·幸运·顺利","0xe8963173fa4d10d0e598580e2b364e44e6ce4444","15","10","7.340","0/3","19.6","-19.10","-2.1730","0.0%","N"
